     40/99     12.6G   0.04176    0.1003  0.001858     0.144       727       640    0.8135    0.8511      0.88    0.4508   0.09997    0.2191   0.01393
     41/99     12.6G   0.02982   0.09822  0.001577    0.1296       501       640    0.8022    0.8665     0.877    0.4533   0.09932    0.2189   0.01602
     42/99     12.6G    0.0322   0.09348  0.002395    0.1281       193       640    0.8149    0.8499    0.8708    0.4276       0.1    0.2211  0.006248
     43/99     12.6G   0.03675   0.09241   0.00177    0.1309       533       640    0.8307    0.8383    0.8803    0.4387   0.09896    0.2247  0.006273
     44/99     12.6G   0.03755   0.09532  0.002159     0.135       223       640     0.841    0.8341    0.8821    0.4575   0.09805    0.2246  0.006567
     45/99     12.6G   0.03902    0.1001  0.003888    0.1431       436       640    0.8432    0.8232    0.8759    0.4475     0.098    0.2238   0.01652
     46/99     12.6G   0.03751   0.09368  0.002623    0.1338       350       640     0.806    0.8382    0.8707    0.4394   0.09818    0.2233   0.01642
     47/99     12.6G   0.03563    0.0927  0.001931    0.1303       229       640    0.8558    0.8021    0.8701    0.4398   0.09809    0.2256    0.0191
     48/99     12.6G   0.04176   0.09788   0.00227    0.1419       365       640    0.8346    0.8301    0.8801    0.4556   0.09848    0.2212   0.02144
     49/99     12.6G   0.02777    0.1018  0.002165    0.1317       620       640    0.8338    0.8328    0.8809    0.4525   0.09795    0.2232   0.01917
     50/99     12.6G   0.03505    0.1007  0.001679    0.1375       843       640    0.8329    0.8251    0.8808    0.4424   0.09776    0.2236   0.01737
     51/99     12.6G   0.04249    0.1001   0.00208    0.1447       306       640    0.8227    0.8358    0.8766    0.4538   0.09765    0.2212   0.01101
     52/99     12.6G   0.04002   0.09578  0.001524    0.1373        86       640     0.834    0.8305    0.8778    0.4463   0.09808    0.2239   0.00807
     53/99     12.6G   0.05066   0.09027  0.001615    0.1425       509       640    0.8266    0.8421    0.8824    0.4596   0.09745    0.2242  0.007639
     54/99     12.6G   0.04294    0.0995  0.002055    0.1445       432       640    0.8178    0.8372    0.8695    0.4502   0.09776    0.2185  0.007175
     55/99     12.6G   0.03527   0.09588  0.005436    0.1366        81       640    0.7711    0.7701    0.8049    0.3942    0.0985    0.2155   0.07039
     56/99     12.6G   0.03724    0.1041  0.003608    0.1449       531       640     0.698    0.7209    0.7558    0.3748   0.09872    0.2164   0.07113
     57/99     12.6G   0.02713   0.09575  0.002148     0.125       253       640    0.8203    0.7892     0.853     0.432   0.09769    0.2244   0.02826
     58/99     12.6G   0.04222    0.1088  0.002631    0.1536       660       640    0.7939     0.831    0.8601    0.4387   0.09778    0.2201   0.03226
     59/99     12.6G   0.04256    0.1049  0.009205    0.1567       379       640    0.7908    0.7913    0.8255    0.4227    0.0971    0.2246  0.008725
     60/99     12.6G   0.03499   0.09862  0.002621    0.1362       315       640    0.7508    0.7862    0.7973    0.3961   0.09749     0.222   0.01482
     61/99     12.6G    0.0346    0.1025  0.002674    0.1398       306       640    0.8196    0.8042    0.8576    0.4415   0.09702    0.2201   0.01342
     62/99     12.6G   0.03721    0.0932  0.003136    0.1335       476       640    0.8091    0.8381    0.8777    0.4577   0.09678    0.2195   0.01097
     63/99     12.6G   0.04509    0.1014  0.002279    0.1488       740       640    0.8069    0.8372    0.8778    0.4607   0.09678    0.2211   0.01096
     64/99     12.6G   0.04196   0.09649  0.004308    0.1428       552       640    0.8026    0.8432    0.8757    0.4579   0.09683    0.2262   0.01035
     65/99     12.6G   0.03078   0.09923  0.001626    0.1316       403       640    0.8087     0.846     0.882    0.4635   0.09673    0.2225   0.01025
     66/99     12.6G   0.04189   0.09362  0.002497     0.138       382       640    0.8181    0.8337    0.8808    0.4675   0.09656    0.2226   0.01029
     67/99     12.6G   0.03878   0.09209  0.002733    0.1336       405       640    0.8341    0.8221    0.8819    0.4654   0.09683    0.2191  0.009944
     68/99     12.6G    0.0291   0.09929  0.001628      0.13       380       640    0.8193    0.8473     0.886    0.4667   0.09651    0.2189  0.008939
     69/99     12.6G   0.04119   0.09213  0.002812    0.1361       148       640    0.8363     0.828    0.8843    0.4669   0.09695    0.2245  0.007689
     70/99     12.6G   0.04159   0.09745  0.002709    0.1418       704       640    0.8238    0.8322    0.8822    0.4697   0.09674    0.2238  0.007049
     71/99     12.6G   0.03883   0.09435  0.002409    0.1356       520       640    0.8271    0.8363    0.8848    0.4704   0.09647    0.2267  0.007315
     72/99     12.6G    0.0442   0.08921  0.002394    0.1358       350       640    0.8291    0.8384    0.8863     0.466   0.09642    0.2257  0.008546
     73/99     12.6G   0.03091   0.09388  0.002244     0.127       267       640    0.8516    0.8244    0.8891    0.4731   0.09645    0.2262  0.009099
     74/99     12.6G    0.0386   0.09581  0.001763    0.1362       378       640    0.8439    0.8318    0.8879     0.475   0.09648    0.2272  0.009311
     75/99     12.6G   0.03099   0.08794  0.001156    0.1201       209       640    0.8434    0.8341    0.8883    0.4721   0.09649     0.227  0.009476
     76/99     12.6G    0.0361   0.09569  0.001961    0.1338       622       640    0.8129    0.8614    0.8888     0.475   0.09644    0.2236  0.008615
     77/99     12.6G   0.03122   0.09307  0.001654    0.1259       472       640    0.8316    0.8413    0.8899    0.4734   0.09667    0.2253  0.008161
     78/99     12.6G   0.03677   0.09099  0.002348    0.1301       161       640    0.8363    0.8318    0.8879    0.4691   0.09681    0.2232  0.007923
